ID,Title,Author,Year,Format,File
1,Buku Bimbingan Akademik,Yuliani,2025,PDF,ebook/Yuliani Dwi Pamungkas_112 S1 Ilmu Perpustakaan & Informasi_Buku Bimbingan Akademik (1).pdf
2,Petir,Dewi Lestari,2002,PDF,ebook/Petir.pdf
3,Partikel,Dewi Lestari,2012,PDF,ebook/Partikel.pdf
4,Laut Bercerita,Leila S. Chudori,2017,PDF,ebook/Laut Bercerita.pdf
5,Laskar Pelangi,Andrea Hirata,2005,PDF,ebook/Laskar Pelangi.pdf
6,Gelombang,Dewi Lestari,2014,PDF,ebook/Gelombang.pdf
7,Cantik itu Luka,Eka Kurniawan,2002,PDF,ebook/Cantik itu Luka.pdf
8,Bumi Manusia,Pramoedya Ananta Toer,1980,PDF,ebook/Bumi Manusia.pdf


